evidence_id,ticker,metric_name,sector,source_quality_tier,document_role,metric_eligibility,metric_subtype,candidate_score,candidate_origin,section_title,metric_candidate_count,metric_value_status,association_score,association_reason,clean_metric_value,value_unit,direction,confidence,confidence_reason,table_title,row_label,column_label,cell_value,source_page,table_mapping_confidence,table_mapping_reason,supporting_sentence
financial:BHP.AX:2026-07-06:031,BHP.AX,production,miners,tier_3_company_annual_report_pdf,annual_report,eligible_financial_document,,100,targeted_plugin,segment_product_performance,1,value_extracted,100,targeted ticker plugin matched a configured row inside a configured section before generic scoring,263,m,supportive,medium,"clean value accepted because ticker plugin target row, section context, and row/column mapping were satisfied",segment_product_performance,production,FY2025 %,263 M,19,100,accepted row label; header row available; accepted column label; unit m compatible; source page preserved,"production record 263 Mt ^1% on FY2024 Western Australia Iron Ore (WAIO) is the lowest-cost major iron ore producer globally 2 and has one of the lowest greenhouse gas (GHG) emission production intensities of benchmarked iron ore operations.3 WAIO set multiple records in FY2025, including for full-year production of 257 Mt (290 Mt on a 100 per cent basis)"
financial:BHP.AX:2026-07-06:032,BHP.AX,realised_price,miners,tier_3_company_annual_report_pdf,annual_report,eligible_financial_document,,69,text_block,revenue_income_npat,1,table_row_unparsed,45,dense table-like row contains multiple numeric values and financial row labels; clean value withheld until row/column mapping is parsed,unavailable,unavailable,neutral,low,"metric row appears present, but value association is unsafe without row/column mapping",unavailable,unavailable,unavailable,unavailable,113,0,no table row mapping available,"/nobreakspace Year ended 30 June US$M 2025 2024 Revenue 22,530 18,566 Underlying EBITDA 12,326 8,564 Net operating assets 40,884 36,368 Capital expenditure 4,392 3,711 Underlying ROCE 17% 13% Total copper production (kt) 2,017 1,865 Average"
financial:BHP.AX:2026-07-06:033,BHP.AX,unit_cost_aisc,miners,tier_3_company_annual_report_pdf,annual_report,eligible_financial_document,,100,text_block,segment_product_performance,1,value_extracted,86,label-value distance 7 tokens; unit US$/t compatible; competing labels nearby: guidance,116,US$/t,neutral,medium,"clean value accepted because metric label, compatible unit, and proximity met threshold",unavailable,unavailable,unavailable,unavailable,20,0,no structured table mapping available,"Production for FY2026 is expected to increase to between 18 and 20 Mt (36 and 40 Mt on a 100 per cent basis), weighted to the second half, while unit costs are expected to decrease with guidance between US$116/t and US$128/t as we push to f"
financial:BHP.AX:2026-07-06:034,BHP.AX,capex,miners,tier_3_company_annual_report_pdf,annual_report,eligible_financial_document,,100,targeted_plugin,cash_flow_statement,1,value_extracted,100,targeted ticker plugin matched a configured row inside a configured section before generic scoring,-13350,$m,neutral,medium,"clean value accepted because ticker plugin target row, section context, and row/column mapping were satisfied",cash_flow_statement,investing cash flows,2025 $M,"(13,350)",31,100,accepted row label; header row available; accepted column label; preferred value type current_period_value; unit $m compatible; source page preserved,"investing cash flows (13,350) (8,762) (13,065) Net financing cash flows (5,971) (11,669) (10,315) Net (decrease)/increase in cash and cash equivalents (629) 234 (4,679) Net operating cash inflows of US$18.7 billion decreased by US$2.0 billion. This is primaril"
financial:BHP.AX:2026-07-06:035,BHP.AX,reserves_resources,miners,tier_3_company_annual_report_pdf,annual_report,eligible_financial_document,,69,text_block,revenue_income_npat,1,table_row_unparsed,45,dense table-like row contains multiple numeric values and financial row labels; clean value withheld until row/column mapping is parsed,unavailable,unavailable,neutral,low,"metric row appears present, but value association is unsafe without row/column mapping",unavailable,unavailable,unavailable,unavailable,326,0,no table row mapping available,Total reserves (2) (15) 13 Summarised financial information relating to each of the Group’s subsidiaries with non-controlling interests (NCI) that are significant to the Group is shown below: /nobreakspace 2025 2024 US$M Minera Escondida Li
financial:BHP.AX:2026-07-06:036,BHP.AX,commodity_exposure,miners,tier_3_company_annual_report_pdf,annual_report,eligible_financial_document,,29,text_block,revenue_income_npat,1,metric_mentioned_only,35,metric label present but no compatible value found; competing or rejected labels may be closer,unavailable,unavailable,neutral,low,metric label is present but no clean value or direction was extracted,unavailable,unavailable,unavailable,unavailable,320,0,no table row mapping available,"Refer to note 2 ‘Revenue’, which presents current and prior year revenue by commodity."
