Date,Close,High,Low,Open,Volume
2021-07-08,258.85357666015625,260.98641335587143,257.88915050309237,259.66034507723356,645721
2021-07-09,255.4502716064453,259.41922229364076,253.1690595595271,258.7237284000921,858187
2021-07-12,258.7793884277344,259.1874138118452,256.5909143672502,257.7964259023004,529852
2021-07-13,259.2059326171875,260.54128318411057,257.3420281881354,259.7159784627276,756123
2021-07-14,259.48419189453125,260.9029985790206,258.4641283273143,258.7237782989946,682754
2021-07-15,255.1535186767578,258.32498325740573,254.56929928297646,257.29563758747696,774355
2021-07-16,257.53680419921875,257.79645417215136,255.2184907624188,256.7300356511683,1186043
2021-07-19,262.19195556640625,264.1764453626656,257.79644254440234,258.2786415296066,656467
2021-07-20,265.6601867675781,266.14238578039425,261.22757255451387,262.14561563073636,648423
2021-07-21,269.0448913574219,270.34314110560916,268.2566591996832,270.34314110560916,681930
2021-07-22,268.2195739746094,270.67700878086214,267.23661137199775,270.2968019931012,461915
2021-07-23,272.1513671875,272.9117522244205,267.68629478602423,267.88566627677955,522811
2021-07-26,271.4373779296875,274.27499105538567,270.3709595052766,273.56096076941293,461482
2021-07-27,270.8717346191406,271.6970394471863,267.87646361460827,271.24265909128667,458649
2021-07-28,268.4884948730469,273.5146104864185,267.12532554043145,270.93664726620216,575848
2021-07-29,269.87017822265625,271.59501786615704,268.766658935077,271.5208159999204,415488
2021-07-30,267.9135437011719,270.23185684631403,265.95687269081697,269.92582366331146,472528
2021-08-02,272.95819091796875,273.4589544730756,267.9135393324227,270.6676964359296,504326
2021-08-03,272.92108154296875,273.5609382047812,271.1313506713922,271.1313506713922,412955
2021-08-04,271.0386962890625,273.653760993709,269.2025816092563,273.5610227836671,611270
2021-08-05,272.4389343261719,273.20860194820233,270.0000640218521,270.7790139536971,457958
2021-08-06,276.2779541015625,276.2779541015625,272.96739677631837,273.56089841097173,562620
2021-08-09,275.2950439453125,277.6087159287622,274.2100892447218,276.3429260114994,352395
2021-08-10,273.6815185546875,277.60408643660736,271.3168220750807,277.60408643660736,433386
2021-08-11,271.9382019042969,274.7665333493096,271.0572313625502,274.48834702019394,495943
2021-08-12,269.517822265625,272.6336214988893,268.497758838168,272.6336214988893,578851
2021-08-13,275.9071350097656,276.97355359800713,270.98303922342035,271.6970696190874,842858
2021-08-16,275.8699951171875,276.84370366440726,272.23489578012317,275.65672840948713,489074
2021-08-17,276.287353515625,276.6397417230995,273.0880693158985,276.4913662515456,524825
2021-08-18,272.2256164550781,280.79409328608637,268.8872396703598,272.2998183279178,1101591
2021-08-19,280.8218994140625,280.8218994140625,269.4529108334289,271.70630445041905,1190909
2021-08-20,283.85430908203125,285.57912073293966,281.7863632631885,281.9069200924999,1657177
2021-08-23,284.3642883300781,286.42295156106536,283.4555276774771,285.61618310427815,459861
2021-08-24,286.1261901855469,287.06279772961324,282.8620155434377,284.92996100716624,650279
2021-08-25,289.7984619140625,290.568129523213,286.56207711242786,288.3981915423022,567000
2021-08-26,285.70892333984375,288.1014101012546,282.9269475104387,287.5171906491241,525299
2021-08-27,288.4538269042969,289.4367895310743,286.7846525606397,287.0257379126728,437210
2021-08-30,287.7489929199219,289.3161747429238,285.80163267570197,288.39813186780765,425589
2021-08-31,289.2698669433594,292.2743919695188,288.89894246971505,289.5016982768525,740798
2021-09-01,286.6177062988281,289.4924205394872,284.2993929272843,287.4801403808325,668797
2021-09-02,282.8422546386719,285.6013195283684,281.3694903608462,284.9395228558375,872639
2021-09-03,283.2431335449219,286.08611494331734,282.879621750298,283.5414185968372,635647
2021-09-06,285.04205322265625,285.04205322265625,279.9806525585838,280.01794529320193,485116
2021-09-07,289.1900329589844,289.1900329589844,284.7904284188342,285.22852565817635,605282
2021-09-08,289.88909912109375,289.88909912109375,286.5334639886867,288.9569798313153,723356
2021-09-09,284.7624206542969,290.59749605259117,283.38287397324365,289.66537683604685,628205
2021-09-10,282.059326171875,286.67329997137534,280.6704489716074,286.6267053814309,569887
2021-09-13,282.1431884765625,282.4601056197423,280.10184496800235,281.3229189549098,352818
2021-09-14,280.2696533203125,281.4348025659697,278.936729410327,280.5772686509408,639188
2021-09-15,284.1845703125,285.18194490838806,280.38150718938516,282.43218127008697,532766
2021-09-16,287.39105224609375,287.8384513401998,283.047372549317,285.8064379317325,926843
2021-09-17,288.3604431152344,289.04090051588156,286.1699852882441,287.3910594231122,1689857
2021-09-20,286.54278564453125,288.86375350337073,285.33101353674243,287.1020628907397,446205
2021-09-21,289.31121826171875,289.96368476133443,284.29641143649127,285.9462525016353,508313
2021-09-22,291.2033996582031,291.6694593173765,288.9569886874648,289.47897323005697,483954
2021-09-23,291.7440185546875,291.7440185546875,289.67471251445517,291.73471670473003,498342
2021-09-24,290.83056640625,291.53895776629804,289.4976141217666,290.8026039636958,511278
2021-09-27,285.4708557128906,289.6653924129028,284.7717662628886,288.9569726675069,625526
2021-09-28,274.4811706542969,280.9966754406583,274.4811706542969,280.81026864878487,748452
2021-09-29,267.3877258300781,271.61025352124614,265.9615844544603,271.54499834391163,976701
2021-09-30,273.4837951660156,273.4837951660156,267.5461998146945,268.8325289917576,984880
2021-10-01,269.2613220214844,273.84736190900463,267.630113098777,273.2321597017747,759158
2021-10-04,267.8258361816406,272.4025455329586,266.66068701214084,272.0203731918397,353019
2021-10-05,267.2106628417969,269.1401282503197,265.76586080189827,267.5089194106444,499359
2021-10-06,266.7632751464844,274.4812232709174,266.12944072976967,273.11100650317974,731118
2021-10-07,268.50628662109375,269.3824810496708,267.02422032918764,267.1547022408779,537070
2021-10-08,270.7433776855469,273.2974040407636,267.6394327749028,273.2974040407636,521174
2021-10-11,267.98431396484375,270.53831188911977,265.8031580925312,268.45037364130434,496957
2021-10-12,272.8126525878906,274.03372651773566,268.92573128327615,270.156107062235,1001450
2021-10-13,274.0896911621094,275.20824579183284,270.95778371252504,271.5450234708286,535631
2021-10-14,276.7462463378906,279.48667967103205,276.30814907861895,278.61048515248876,569698
2021-10-15,277.36138916015625,280.69839185340516,276.0937206918079,279.54254469259376,496719
2021-10-18,274.32275390625,277.7716073898375,272.76613029125787,276.83948790195217,737583
2021-10-19,276.0751037597656,276.41068151952663,273.21349051263206,273.5304361258606,566302
2021-10-20,277.4639892578125,279.5425972764754,276.9047119387993,279.5425972764754,543452
2021-10-21,274.64898681640625,278.5172767962938,274.64898681640625,278.5172767962938,797194
2021-10-22,275.7768249511719,277.73428133013255,274.78878068821547,275.87937287447346,1071322
2021-10-25,275.5251770019531,277.9020985996939,275.1057403289593,276.1124167901717,250623
2021-10-26,275.9073791503906,277.2310013909465,275.0032220741174,276.97931091396475,436174
2021-10-27,278.68505859375,279.1697504240339,274.4625589989671,276.839452006471,435083
2021-10-28,279.4866638183594,280.8941731462747,278.3681376606601,278.70368697416234,452512
2021-10-29,280.092529296875,284.28706629577084,279.2815900284524,283.36427725874165,997550
2021-11-01,285.7691650390625,286.971607080036,282.99146731681844,284.46420351391146,621609
2021-11-02,287.1300354003906,288.84513148849527,285.1352864563631,288.0155316624212,354042
2021-11-03,289.7399597167969,291.61352861199623,288.9569829185404,289.8891022182776,578819
