Date,Close,High,Low,Open,Volume
2021-07-06,2.596468925476074,2.629128880127435,2.580138948150394,2.6046339141389145,9023341
2021-07-07,2.6454591751098633,2.6454591751098633,2.612799216536818,2.629129195823341,11139216
2021-07-08,2.6536240577697754,2.6862840150261036,2.6454590684556933,2.6536240577697754,6945680
2021-07-09,2.6454591751098633,2.6536241647531247,2.612799216536818,2.629129195823341,5737091
2021-07-12,2.6536240577697754,2.6781190257120215,2.6454590684556933,2.6781190257120215,5008328
2021-07-13,2.6454591751098633,2.68628412332617,2.6454591751098633,2.6617891543963856,5736778
2021-07-14,2.678118944168091,2.7107789004299816,2.6454589879061996,2.6617889660371454,10538906
2021-07-15,2.669954299926758,2.7679343760352353,2.653624319686798,2.6862842801667175,11048550
2021-07-16,2.669954299926758,2.7026142604066767,2.629129349326859,2.645459329566818,11830820
2021-07-19,2.669954299926758,2.6862842801667175,2.653624319686798,2.653624319686798,3810341
2021-07-20,2.694448947906494,2.694448947906494,2.6250464428560423,2.629129034761926,8674096
2021-07-21,2.694448947906494,2.7352738936218493,2.6862839587634233,2.694448947906494,7743568
2021-07-22,2.7026143074035645,2.7107792976655287,2.678119336617672,2.7026143074035645,5774726
2021-07-23,2.7107787132263184,2.7352736787311387,2.6781187592198914,2.6781187592198914,4405484
2021-07-26,2.7107787132263184,2.7352736787311387,2.6944487362231047,2.727108690229532,5130285
2021-07-27,2.7107787132263184,2.727108690229532,2.686283747721498,2.727108690229532,7162471
2021-07-28,2.7189438343048096,2.727108823204545,2.686283878705869,2.702613856505339,5647526
2021-07-29,2.7026143074035645,2.7148618901308725,2.678119336617672,2.6944493171416,5601134
2021-07-30,2.7026143074035645,2.718944287927493,2.6862843268796364,2.6944493171416,9526160
2021-08-02,2.7271087169647217,2.735273705546374,2.7107787398014174,2.7189437283830697,3035603
2021-08-03,2.743439197540283,2.7516041876201847,2.7189442273005784,2.7189442273005784,9530341
2021-08-04,2.735274076461792,2.7434390661506534,2.710779107395208,2.7189440970840693,7031258
2021-08-05,2.735274076461792,2.7597692401970857,2.7189440970840693,2.7271090867729306,10485611
2021-08-06,2.7516040802001953,2.7516040802001953,2.7189441211556025,2.735274100677899,7330476
2021-08-09,2.784263849258423,2.7965112348737735,2.735273722790967,2.751603700057224,7243230
2021-08-10,2.833254098892212,2.833254098892212,2.7883465590379255,2.8087591302449755,6624947
2021-08-11,2.8495843410491943,2.8495843410491943,2.8087593895350533,2.82508937014071,7140427
2021-08-12,2.8495843410491943,2.865914321654851,2.82508937014071,2.8495843410491943,5129359
2021-08-13,2.8740789890289307,2.8985739571851843,2.857749010258095,2.8904089677997664,3865909
2021-08-16,2.8740789890289307,2.8985739571851843,2.849584020872677,2.8740789890289307,5500541
2021-08-17,2.890409231185913,2.9149042015742506,2.85774927066813,2.9149042015742506,5540318
2021-08-18,2.890409231185913,2.9230691917036964,2.8822442410564673,2.9230691917036964,5673585
2021-08-19,2.9230690002441406,2.931233989838784,2.878161654807957,2.8822440522709254,6077202
2021-08-20,2.939398765563965,2.9516463463991545,2.9149037985622797,2.9230687875628414,8299138
2021-08-23,2.931234121322632,2.939399111283525,2.8659142016354875,2.931234121322632,12803712
2021-08-24,2.8822438716888428,2.9393987952704004,2.8822438716888428,2.914903828021161,9839633
2021-08-25,2.898574113845825,2.9393990629794007,2.849584174885535,2.9393990629794007,6002701
2021-08-26,2.898574113845825,2.898574113845825,2.84141918505882,2.882244134192395,10287019
2021-08-27,2.8822438716888428,2.898573849855002,2.8414189262734446,2.8659138935226838,7573517
2021-08-30,2.898574113845825,2.898574113845825,2.849584174885535,2.882244134192395,3865164
2021-08-31,2.898574113845825,2.898574113845825,2.85774916471225,2.8659141545389653,7993681
2021-09-01,2.9149041175842285,2.9149041175842285,2.857749188324969,2.865914178219149,4100514
2021-09-02,2.9067389965057373,2.9393989546084773,2.8659140488773125,2.9230689755571073,7594129
2021-09-03,2.9149041175842285,2.9230691074784083,2.882244158007509,2.9067391276900483,4610379
2021-09-06,2.939398765563965,2.939398765563965,2.8822438425600323,2.8822438425600323,4365858
2021-09-07,2.9557290077209473,2.9557290077209473,2.9230690487998534,2.9312340385301265,5680687
2021-09-08,2.9299254417419434,3.000676514374137,2.921601797811763,2.9382490856721235,12919326
2021-09-09,2.9299254417419434,2.9382490856721235,2.9049545099514034,2.921601797811763,11502454
2021-09-10,2.971544027328491,3.0048386071493267,2.9382494475076553,2.996514962194118,9740675
2021-09-13,2.971544027328491,2.9798676722837,2.9465730924628644,2.954896737418073,7086451
2021-09-14,2.9548964500427246,2.9798673824798296,2.9299255176056196,2.9798673824798296,10384063
2021-09-15,2.9382495880126953,2.9798678147788946,2.9216022973062157,2.9798678147788946,5961006
2021-09-16,2.9632205963134766,2.9715442418696405,2.9216023685326564,2.9465733052011487,7391967
2021-09-17,2.94657301902771,2.9715439532710057,2.9299257295321794,2.9632203085232405,10706584
2021-09-20,2.9216020107269287,2.9465729443372553,2.904954721653378,2.93824929980048,4829747
