Date,Close,High,Low,Open,Volume
2021-07-02,263.5365295410156,265.4004620981983,262.44229268543404,263.3603355032861,461566
2021-07-05,261.5057373046875,264.28771323346075,260.9029815133978,264.28771323346075,400899
2021-07-06,257.0916442871094,261.9601018691713,256.99893440151345,261.17189804328086,508996
2021-07-07,260.7267761230469,262.8967138573313,259.6510754146482,260.46712617962106,647149
2021-07-08,258.85357666015625,260.98641335587143,257.88915050309237,259.66034507723356,645721
2021-07-09,255.4502716064453,259.41922229364076,253.1690595595271,258.7237284000921,858187
2021-07-12,258.77935791015625,259.1873832461491,256.5908841077565,257.79639550064206,529852
2021-07-13,259.2059631347656,260.54131385890605,257.342058486267,259.7160090403559,756123
2021-07-14,259.484130859375,260.90293721013654,258.46406753209465,258.7237174427007,682754
2021-07-15,255.1535186767578,258.32498325740573,254.56929928297646,257.29563758747696,774355
2021-07-16,257.5367736816406,257.79642362380525,255.21846051955603,256.73000522919057,1186043
2021-07-19,262.1919860839844,264.17647611122646,257.796472550369,258.27867159169836,656467
2021-07-20,265.6601257324219,266.14232463445325,261.2275125377462,262.14555540304923,648423
2021-07-21,269.0448913574219,270.34314110560916,268.2566591996832,270.34314110560916,681930
2021-07-22,268.2196044921875,270.6770395780431,267.23664177773605,270.2968327470229,461915
2021-07-23,272.1513977050781,272.9117828272641,267.68632480291336,267.88569631602513,522811
2021-07-26,271.4373779296875,274.27499105538567,270.3709595052766,273.56096076941293,461482
2021-07-27,270.87176513671875,271.69707005774677,267.8764937947263,271.2426896506547,458649
2021-07-28,268.4884948730469,273.5146104864185,267.12532554043145,270.93664726620216,575848
2021-07-29,269.87017822265625,271.59501786615704,268.766658935077,271.5208159999204,415488
2021-07-30,267.9136047363281,270.2319184096205,265.9569332802111,269.9258851568985,472528
2021-08-02,272.9581604003906,273.4589238995106,267.91350937885244,270.6676661744359,504326
2021-08-03,272.9210510253906,273.5609076156554,271.1313203539388,271.1313203539388,412955
2021-08-04,271.0386047363281,273.6536685576457,269.2024906767335,273.56093037892936,611270
2021-08-05,272.4388732910156,273.20854074061555,270.0000035330819,270.77895329041684,457958
2021-08-06,276.2780456542969,276.2780456542969,272.96748723200324,273.5609890633306,562620
2021-08-09,275.2950744628906,277.60874670282027,274.2101196420283,276.3429566452395,352395
2021-08-10,273.6815185546875,277.60408643660736,271.3168220750807,277.60408643660736,433386
2021-08-11,271.9382019042969,274.7665333493096,271.0572313625502,274.48834702019394,495943
2021-08-12,269.517822265625,272.6336214988893,268.497758838168,272.6336214988893,578851
2021-08-13,275.9071044921875,276.9735229624745,270.9830092504874,271.69703956717683,842858
2021-08-16,275.8700256347656,276.84373428969997,272.23492589557554,275.656758903473,489074
2021-08-17,276.2873229980469,276.63971116659803,273.0880391517003,276.49133571143307,524825
2021-08-18,272.2256164550781,280.79409328608637,268.8872396703598,272.2998183279178,1101591
2021-08-19,280.8218688964844,280.8218688964844,269.45288155134557,271.7062749234541,1190909
2021-08-20,283.85430908203125,285.57912073293966,281.7863632631885,281.9069200924999,1657177
2021-08-23,284.3643493652344,286.42301303808733,283.4555885175795,285.6162444081376,459861
2021-08-24,286.126220703125,287.0628283470878,282.86204571286623,284.92999139715727,650279
2021-08-25,289.79840087890625,290.56806832595515,286.5620167588944,288.3981308020602,567000
2021-08-26,285.7088928222656,288.10137932812654,282.92691729001325,287.51715993839855,525299
2021-08-27,288.4538269042969,289.4367895310743,286.7846525606397,287.0257379126728,437210
2021-08-30,287.7490234375,289.31620542671135,285.8016629867504,288.398162454231,425589
2021-08-31,289.2698974609375,292.27442280407024,288.89897294816114,289.5017288188885,740798
2021-09-01,286.61767578125,289.49238971582434,284.2993626565482,287.48010977142684,668797
2021-09-02,282.84228515625,285.60135034363884,281.3695207195188,284.93955359970266,872639
2021-09-03,283.2431335449219,286.08611494331734,282.879621750298,283.5414185968372,635647
2021-09-06,285.0420837402344,285.0420837402344,279.98068253427107,280.01797527288187,485116
2021-09-07,289.1900329589844,289.1900329589844,284.7904284188342,285.22852565817635,605282
2021-09-08,289.88909912109375,289.88909912109375,286.5334639886867,288.9569798313153,723356
2021-09-09,284.762451171875,290.5975271955059,283.3829043429778,289.6654078790677,628205
2021-09-10,282.0592956542969,286.6732689545856,280.6704186042997,286.6266743696824,569887
2021-09-13,282.1431579589844,282.4600750678853,280.101814671223,281.32288852605484,352818
2021-09-14,280.2696533203125,281.4348025659697,278.936729410327,280.5772686509408,639188
2021-09-15,284.1845703125,285.18194490838806,280.38150718938516,282.43218127008697,532766
2021-09-16,287.39105224609375,287.8384513401998,283.047372549317,285.8064379317325,926843
2021-09-17,288.3604431152344,289.04090051588156,286.1699852882441,287.3910594231122,1689857
2021-09-20,286.5428161621094,288.8637842681382,285.33104392526354,287.1020934678824,446205
2021-09-21,289.31121826171875,289.96368476133443,284.29641143649127,285.9462525016353,508313
2021-09-22,291.203369140625,291.6694287509561,288.95695840530635,289.47894289319555,483954
2021-09-23,291.7440185546875,291.7440185546875,289.67471251445517,291.73471670473003,498342
2021-09-24,290.83056640625,291.53895776629804,289.4976141217666,290.8026039636958,511278
2021-09-27,285.47088623046875,289.66542337888785,284.77179670573224,288.95700355776,625526
2021-09-28,274.481201171875,280.9967066826484,274.481201171875,280.8102998700497,748452
2021-09-29,267.38775634765625,271.6102845207511,265.96161480926963,271.5450293359689,976701
2021-09-30,273.4837951660156,273.4837951660156,267.5461998146945,268.8325289917576,984880
2021-10-01,269.2613220214844,273.84736190900463,267.630113098777,273.2321597017747,759158
