evidence_id,ticker,metric_name,sector,source_quality_tier,document_role,metric_eligibility,metric_subtype,candidate_score,candidate_origin,section_title,metric_candidate_count,metric_value_status,association_score,association_reason,clean_metric_value,value_unit,direction,confidence,confidence_reason,table_title,row_label,column_label,cell_value,source_page,table_mapping_confidence,table_mapping_reason,supporting_sentence
financial:CSL.AX:2026-07-06:016,CSL.AX,segment_revenue,healthcare,tier_3_structured_online_annual_report,annual_report,eligible_financial_document,,69,text_block,revenue_income_npat,1,direction_extracted,45,metric label present but no compatible value found; competing or rejected labels may be closer,unavailable,unavailable,supportive,low,directional wording is present but no compatible clean metric value was attached,unavailable,unavailable,unavailable,unavailable,1,0,no table row mapping available,"US$11,158m CSL Behring revenue US$2,166m CSL Seqirus revenue US$2,234m CSL Vifor revenue Cashflow from operations was $3,561 million, up 29%."
financial:CSL.AX:2026-07-06:017,CSL.AX,r_and_d,healthcare,tier_3_structured_online_annual_report,annual_report,eligible_financial_document,,69,text_block,revenue_income_npat,1,direction_extracted,45,metric label present but no compatible value found; competing or rejected labels may be closer,unavailable,unavailable,supportive,low,directional wording is present but no compatible clean metric value was attached,unavailable,unavailable,unavailable,unavailable,1,0,no table row mapping available,"+ READ MORE ABOUT CSL’S R&D PIPELINE AT WWW.CSL.COM/RESEARCH-ANDDEVELOPMENT/PRODUCT-PIPELINE NPATA attributable to equity holders of US$3.2 billion for the year ended 30 June 2025, up 11% on a reported currency basis when compared to the pr"
financial:CSL.AX:2026-07-06:018,CSL.AX,plasma_collections,healthcare,tier_3_structured_online_annual_report,annual_report,eligible_financial_document,,59,text_block,revenue_income_npat,1,metric_mentioned_only,35,metric label present but no compatible value found; competing or rejected labels may be closer,unavailable,unavailable,neutral,low,metric label is present but no clean value or direction was extracted,unavailable,unavailable,unavailable,unavailable,1,0,no table row mapping available,"In plasma collection the focus is on three areas; enhancing collection efficiency, reducing the unit acquisition cost and providing a world-class experience for donors and communities."
financial:CSL.AX:2026-07-06:019,CSL.AX,margins,healthcare,tier_3_structured_online_annual_report,annual_report,eligible_financial_document,,59,text_block,revenue_income_npat,1,metric_mentioned_only,35,metric label present but no compatible value found; competing or rejected labels may be closer,unavailable,unavailable,neutral,low,metric label is present but no clean value or direction was extracted,unavailable,unavailable,unavailable,unavailable,1,0,no table row mapping available,"CODE OF RESPONSIBLE BUSINESS PRACTICE SALES, MARKETING, POLICY EARLY STAGE RESEARCH MANUFACTURING PRODUCT DEVELOPMENT & COLLABORATION & DISTRIBUTION & CLINICAL TRIALS POLICY ADVOCACY & PATIENT SUPPORT + READ MORE AT INVESTORS.CSL.COM CSL’s"
financial:CSL.AX:2026-07-06:020,CSL.AX,debt,healthcare,tier_3_structured_online_annual_report,annual_report,eligible_financial_document,,69,text_block,revenue_income_npat,1,direction_extracted,45,metric label present but no compatible value found; competing or rejected labels may be closer,unavailable,unavailable,adverse,low,directional wording is present but no compatible clean metric value was attached,unavailable,unavailable,unavailable,unavailable,1,0,no table row mapping available,"CODE OF RESPONSIBLE BUSINESS PRACTICE SALES, MARKETING, POLICY EARLY STAGE RESEARCH MANUFACTURING PRODUCT DEVELOPMENT & COLLABORATION & DISTRIBUTION & CLINICAL TRIALS POLICY ADVOCACY & PATIENT SUPPORT + READ MORE AT INVESTORS.CSL.COM CSL’s"
financial:CSL.AX:2026-07-06:021,CSL.AX,guidance,healthcare,tier_3_structured_online_annual_report,annual_report,eligible_financial_document,,100,text_block,management_discussion_analysis,1,guidance_narrative,82,eligible outlook/guidance section provides directional guidance without a clean numeric value,unavailable,unavailable,neutral,medium,guidance accepted as narrative because the plugin permits non-numeric outlook evidence,unavailable,unavailable,unavailable,unavailable,1,0,no table row mapping available,"While these changes are among the most significant for our company in the last 20 years, the Board and management team are unified in our optimism in the outlook for both CSL and Seqirus."
